ANNEE,REGION,SEXE,AGE,POPULATION,NB_ETUDIANTS_OC
2022,Auvergne-Rhône-Alpes,M,40-44 ans,255076,7
2022,Auvergne-Rhône-Alpes,M,45-49 ans,261532,10
2022,Auvergne-Rhône-Alpes,M,55-59 ans,260661,4
2022,Auvergne-Rhône-Alpes,F,25-29 ans,227869,4
2022,Bourgogne-Franche-Comté,M,35-39 ans,80583,0
2022,Bourgogne-Franche-Comté,M,40-44 ans,82106,0
2022,Bourgogne-Franche-Comté,M,45-49 ans,86369,2
2022,Bourgogne-Franche-Comté,F,60 ans ou plus,474884,0
2022,Centre-Val-de-Loire,M,35-39 ans,73397,7
2022,Grand Est,M,45-49 ans,174486,2
2022,Île-de-France,M,30-34 ans,436749,69
2022,Bretagne,F,25-29 ans,83474,1
2022,Centre-Val-de-Loire,F,40-44 ans,77852,0
2022,Centre-Val-de-Loire,F,45-49 ans,82218,0
2022,Centre-Val-de-Loire,F,50-54 ans,88106,0
2022,Grand Est,M,50-54 ans,185608,1
2022,Hauts-de-France,M,35-39 ans,188234,5
2022,Hauts-de-France,F,45-49 ans,192319,0
2022,Île-de-France,F,45-49 ans,414197,16
2022,Normandie,M,35-39 ans,98057,3
2022,Normandie,M,60 ans ou plus,429398,0
2022,Occitanie,M,20-24 ans,173775,2
2022,Provence-Alpes-Côte d'Azur,F,30-34 ans,153231,2
2022,Grand Est,M,35-39 ans,170597,10
2022,Hauts-de-France,M,30-34 ans,179837,17
2022,Hauts-de-France,F,20-24 ans,180743,0
2022,Île-de-France,M,50-54 ans,387897,21
2022,Occitanie,M,25-29 ans,161274,10
2022,Pays de la Loire,M,20-24 ans,112221,0
2022,Pays de la Loire,M,60 ans ou plus,477931,0
2023,Auvergne-Rhône-Alpes,F,45-49 ans,255141,0
2023,Auvergne-Rhône-Alpes,F,60 ans ou plus,1214097,0
2023,Bourgogne-Franche-Comté,M,45-49 ans,83446,1
2023,Bourgogne-Franche-Comté,F,50-54 ans,94674,0
2023,Bretagne,M,50-54 ans,115362,1
2023,Bretagne,M,60 ans ou plus,461689,0
2023,Centre-Val-de-Loire,F,45-49 ans,79068,0
2023,Centre-Val-de-Loire,F,55-59 ans,87891,0
2023,Corse,F,60 ans ou plus,59976,0
2023,Grand Est,M,55-59 ans,186427,1
2023,Grand Est,F,50-54 ans,188776,0
2023,Grand Est,F,55-59 ans,192436,0
2023,Hauts-de-France,M,30-34 ans,177744,9
2023,Île-de-France,M,50-54 ans,395238,14
2023,Île-de-France,F,30-34 ans,464314,52
2023,Normandie,F,25-29 ans,85151,0
2023,Nouvelle-Aquitaine,M,60 ans ou plus,867301,0
2023,Occitanie,M,55-59 ans,198147,0
2023,Pays de la Loire,F,25-29 ans,101387,1
2023,Pays de la Loire,F,45-49 ans,122102,1
2023,Provence-Alpes-Côte d'Azur,M,20-24 ans,140210,2
2023,Provence-Alpes-Côte d'Azur,M,35-39 ans,149118,5
2023,Provence-Alpes-Côte d'Azur,F,25-29 ans,133398,2
2023,Provence-Alpes-Côte d'Azur,F,55-59 ans,184659,0
2023,DOM,F,50-54 ans,76952,0
2023,Grand Est,M,20-24 ans,165962,1
2023,Nouvelle-Aquitaine,M,45-49 ans,186993,4
2023,Provence-Alpes-Côte d'Azur,F,60 ans ou plus,889463,0
2023,Provence-Alpes-Côte d'Azur,F,40-44 ans,166780,2
2024,Auvergne-Rhône-Alpes,F,40-44 ans,272399,1
2024,Auvergne-Rhône-Alpes,F,60 ans ou plus,1231228,0
2024,Bretagne,M,30-34 ans,93523,4
2024,Bretagne,M,40-44 ans,105807,4
2024,Bretagne,F,45-49 ans,103417,2
2024,Centre-Val-de-Loire,M,40-44 ans,76066,3
2024,Centre-Val-de-Loire,F,60 ans ou plus,433381,0
2024,Corse,M,40-44 ans,11795,0
2024,Grand Est,M,30-34 ans,164129,7
2024,Grand Est,M,50-54 ans,184599,1
2024,Grand Est,M,55-59 ans,185014,1
2024,Grand Est,F,30-34 ans,163485,2
2024,Grand Est,F,55-59 ans,189493,0
2024,Hauts-de-France,F,20-24 ans,180798,0
2024,Hauts-de-France,F,25-29 ans,168684,1
2024,Île-de-France,F,20-24 ans,427035,4
2024,Île-de-France,F,30-34 ans,459192,30
2024,Île-de-France,F,35-39 ans,455079,21
2024,Normandie,M,35-39 ans,98730,2
2024,Normandie,M,45-49 ans,95117,0
2024,Nouvelle-Aquitaine,M,50-54 ans,206914,5
2024,Occitanie,M,60 ans ou plus,840808,0
2024,Occitanie,F,35-39 ans,187446,3
2024,Occitanie,F,45-49 ans,186761,0
2024,Provence-Alpes-Côte d'Azur,F,40-44 ans,167875,2
2024,Provence-Alpes-Côte d'Azur,F,50-54 ans,178005,1
2024,DOM,M,35-39 ans,58963,0
2024,DOM,M,45-49 ans,59968,2
2024,DOM,F,35-39 ans,75577,0
2024,Occitanie,F,20-24 ans,168591,0
2024,Occitanie,F,40-44 ans,195936,3
2024,Provence-Alpes-Côte d'Azur,M,25-29 ans,133845,3
2025,Bourgogne-Franche-Comté,M,45-49 ans,79969,1
2025,Bretagne,M,40-44 ans,105656,4
2025,Bretagne,F,30-34 ans,92821,4
2025,Centre-Val-de-Loire,M,20-24 ans,69952,0
2025,Centre-Val-de-Loire,M,55-59 ans,84268,0
2025,Centre-Val-de-Loire,F,25-29 ans,65000,3
2025,Centre-Val-de-Loire,F,50-54 ans,87594,1
2025,Corse,M,50-54 ans,12118,0
2025,Corse,F,50-54 ans,12442,0
2025,Corse,F,55-59 ans,12280,0
2025,Grand Est,M,25-29 ans,158544,7
2025,Grand Est,M,35-39 ans,171373,10
2025,Grand Est,M,45-49 ans,164164,2
2025,Grand Est,F,55-59 ans,187497,1
2025,Hauts-de-France,M,60 ans ou plus,689429,0
2025,Hauts-de-France,F,25-29 ans,170004,2
2025,Île-de-France,M,40-44 ans,412044,14
2025,Normandie,M,60 ans ou plus,446846,0
2025,Nouvelle-Aquitaine,M,30-34 ans,164152,7
2025,Occitanie,M,35-39 ans,180495,9
2025,Occitanie,F,45-49 ans,187634,3
2025,Occitanie,F,50-54 ans,207751,2
2025,Pays de la Loire,M,35-39 ans,118768,3
2025,Pays de la Loire,M,50-54 ans,130757,1
2025,Pays de la Loire,M,55-59 ans,121539,0
2025,Pays de la Loire,F,45-49 ans,119576,3
2025,Pays de la Loire,F,60 ans ou plus,622140,0
2025,Provence-Alpes-Côte d'Azur,F,45-49 ans,159828,2
2025,DOM,F,60 ans ou plus,269975,0
2022,Auvergne-Rhône-Alpes,M,30-34 ans,247295,15
2022,Auvergne-Rhône-Alpes,M,50-54 ans,267934,3
2022,Auvergne-Rhône-Alpes,F,45-49 ans,261130,3
2022,Bourgogne-Franche-Comté,M,55-59 ans,93211,0
2022,Bretagne,F,35-39 ans,100341,1
2022,Grand Est,M,40-44 ans,170271,8
2022,Bourgogne-Franche-Comté,F,30-34 ans,76666,1
2022,Bretagne,F,20-24 ans,88059,0
2022,Centre-Val-de-Loire,M,40-44 ans,75290,5
2022,Corse,M,60 ans ou plus,50349,0
2022,Grand Est,M,60 ans ou plus,691444,1
2022,Hauts-de-France,M,50-54 ans,191932,6
2022,Hauts-de-France,F,50-54 ans,194384,2
2022,Nouvelle-Aquitaine,F,30-34 ans,169765,1
2022,Provence-Alpes-Côte d'Azur,M,55-59 ans,168350,2
2022,Grand Est,F,40-44 ans,173190,2
2022,Hauts-de-France,M,20-24 ans,186248,1
2022,Hauts-de-France,M,60 ans ou plus,658155,2
2022,Île-de-France,F,50-54 ans,403221,4
2022,Nouvelle-Aquitaine,M,25-29 ans,150388,9
2022,Nouvelle-Aquitaine,F,60 ans ou plus,1071718,0
2022,Occitanie,F,25-29 ans,159618,1
2022,Provence-Alpes-Côte d'Azur,F,20-24 ans,133517,0
2022,Provence-Alpes-Côte d'Azur,F,35-39 ans,161490,1
2022,Provence-Alpes-Côte d'Azur,F,40-44 ans,163862,4
2022,Provence-Alpes-Côte d'Azur,F,45-49 ans,165283,1
2022,Normandie,F,25-29 ans,85394,0
2023,Auvergne-Rhône-Alpes,F,50-54 ans,273766,0
2023,Bourgogne-Franche-Comté,M,20-24 ans,78562,0
2023,Bourgogne-Franche-Comté,M,25-29 ans,71416,4
2023,Bourgogne-Franche-Comté,M,40-44 ans,83444,1
2023,Bourgogne-Franche-Comté,M,55-59 ans,93807,2
2023,Bourgogne-Franche-Comté,F,25-29 ans,68509,0
2023,Bourgogne-Franche-Comté,F,35-39 ans,81304,0
2023,Bretagne,M,20-24 ans,97142,0
2023,Bretagne,M,40-44 ans,105237,1
2023,Bretagne,M,55-59 ans,111701,1
2023,Bretagne,F,55-59 ans,114678,0
2023,Centre-Val-de-Loire,M,60 ans ou plus,347476,1
2023,Centre-Val-de-Loire,F,25-29 ans,63428,1
2023,Centre-Val-de-Loire,F,60 ans ou plus,429391,0
2023,Corse,M,40-44 ans,11541,0
2023,Corse,F,25-29 ans,8828,0
2023,Corse,F,50-54 ans,12544,0
2023,Grand Est,M,50-54 ans,186265,1
2023,Grand Est,F,25-29 ans,150914,4
2023,Hauts-de-France,M,55-59 ans,186651,1
